Radius_1,Radius_2,Radius_3,Velocity_1,Velocity_2,Velocity_3,Mass,ARadius_1,ARadius_2,ARadius_3,AVelocity_1,AVelocity_2,AVelocity_3,AMass,Thrust,Time
   -0.9255977378,    -0.3872366161,  2.923834919e-06,     0.3835605195,    -0.9606805176,    0.01358958697,     0.9729590466,     -1.370325234,    -0.5264867508,     0.2490691294,     0.4162955091,     -1.009948396,     0.3950706512,                1,   0.009497199296,      58.34161631
   -0.9217160144,    -0.3968249831,  0.0001391638486,       0.39277738,    -0.9569772457,    0.01365812062,     0.9727604084,     -1.366025688,    -0.5364098976,     0.2529671569,     0.4299772978,     -1.004633896,     0.3925604474,      1.000243746, 6.950220887e-310,             0.01
   -0.9177423277,    -0.4063758492,  0.0002760803147,      0.401952977,    -0.9531804484,    0.01372487452,     0.9725618401,     -1.361684932,    -0.5463134036,     0.2568381053,     0.4436158855,    -0.9992202638,     0.3900113983,      1.000487414, 4.666682563e-310,             0.02
   -0.9136770959,     -0.415888282,  0.0004136553478,     0.4110862365,    -0.9492906571,     0.0137898311,     0.9723633446,     -1.357302504,    -0.5561978749,     0.2606815629,     0.4572108576,    -0.9937076918,     0.3874237769,      1.000731017, 4.666682563e-310,             0.03
   -0.9095207477,    -0.4253613542,  0.0005518708884,     0.4201760922,    -0.9453084174,    0.01385297319,     0.9721649247,     -1.352877912,    -0.5660638944,     0.2644971224,      0.470761795,    -0.9880963678,       0.38479786,      1.000974566,     -1.379533225,             0.04
   -0.9052737223,    -0.4347941441,  0.0006907087074,     0.4292214856,    -0.9412342901,    0.01391428403,     0.9719665834,     -1.348410638,    -0.5759120208,     0.2682843821,     0.4842682735,    -0.9823864735,     0.3821339288,      1.001218074,    -0.5302906832,             0.05
   -0.9009364697,    -0.4441857356,  0.0008301504103,     0.4382213665,    -0.9370688501,    0.01397374729,     0.9717683233,     -1.343900136,    -0.5857427877,     0.2720429455,     0.4977298636,    -0.9765781852,     0.3794322681,      1.001461554,     0.1240034021,             0.06
   -0.8965094502,    -0.4535352187,  0.0009701774415,     0.4471746932,    -0.9328126869,    0.01403134707,     0.9715701476,     -1.339345836,     -0.595556703,     0.2757724211,     0.5111461303,    -0.9706716739,     0.3766931668,      1.001705018,      73.12153857,             0.07
   -0.8919931344,     -0.462841689,   0.001110771088,     0.4560804325,    -0.9284664043,    0.01408706791,     0.9713720588,     -1.334747141,    -0.6053542479,     0.2794724232,     0.5245166324,    -0.9646671057,     0.3739169179,       1.00194848,      58.34146836,             0.08
   -0.8873880036,    -0.4721042484,   0.001251912486,     0.4649375603,    -0.9240306201,    0.01414089481,       0.97117406,     -1.330103429,    -0.6151358762,     0.2831425711,      0.537840923,     -0.958564642,     0.3711038179,      1.002191951,     0.9726525952,             0.09
   -0.8826945487,    -0.4813220051,   0.001393582623,     0.4737450615,     -0.919505966,    0.01419281323,      0.970976154,     -1.325414057,    -0.6249020136,     0.2867824899,     0.5511185488,    -0.9523644398,     0.3682541672,      1.002435445, -0.0004054010586,              0.1
   -0.8779132711,    -0.4904940737,   0.001535762342,     0.4825019306,    -0.9148930874,    0.01424280909,     0.9707783436,     -1.320678357,    -0.6346530572,     0.2903918102,     0.5643490497,    -0.9460666521,     0.3653682701,      1.002678974,   -0.01432104369,             0.11
   -0.8730446822,     -0.499619575,   0.001678432351,     0.4912071716,    -0.9101926435,    0.01429086878,     0.9705806317,      -1.31589564,    -0.6443893744,     0.2939701683,     0.5775319592,    -0.9396714278,     0.3624464342,      1.002922551,     -1.376598302,             0.12
    -0.868089303,    -0.5086976369,    0.00182157322,     0.4998597983,    -0.9054053068,     0.0143369792,     0.9703830211,     -1.311065197,    -0.6541113026,     0.2975172062,     0.5906668034,    -0.9331789125,     0.3594889711,      1.003166189,    -0.5283797668,             0.13
   -0.8630476648,    -0.5177273938,   0.001965165395,     0.5084588349,     -0.900531763,    0.01438112771,     0.9701855146,     -1.306186299,    -0.6638191483,     0.3010325716,     0.6037531016,    -0.9265892487,     0.3564961957,      1.003409901,     0.2782399644,             0.14
   -0.8579203082,    -0.5267079871,   0.002109189194,     0.5170033155,    -0.8955727111,     0.0144233022,     0.9699881151,     -1.301258198,    -0.6735131869,      0.304515918,     0.6167903654,    -0.9199025756,     0.3534684264,      1.003653699,      73.14655871,             0.15
