Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,       67.1063654,      24.20622056,    -0.5016021612,    -0.1756637923,     0.9659912851,  0.0002020629118,     -1.001538918,    -0.1752734497, -3.406521054e-06,     0.1855960589,     -1.020609729, -0.0002134878202,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.01,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636541,      24.79950595,    -0.5016021612,    -0.1856697261,     0.9641875549,  0.0002020181737,    -0.9996302823,      -0.18546905, -5.540960113e-06,     0.1855573799,      -1.02039703, -0.0002134433283,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.02,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636541,      25.39270797,    -0.5016021612,    -0.1956560473,     0.9622819765,  0.0002019520961,    -0.9976164678,    -0.1956429122,  -7.67436409e-06,     0.1855178354,     -1.020179571,  -0.000213397841,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.03,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636542,      25.98582479,    -0.5016021612,    -0.2056217057,     0.9602747728,  0.0002018646906,    -0.9954977418,    -0.2057939232,  -9.80649803e-06,     0.1854774305,      -1.01995738,  -0.000213351364,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.04,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636543,      26.57885456,    -0.5016021612,    -0.2155656534,     0.9581661779,  0.0002017559711,    -0.9932743836,    -0.2159209732, -1.193712733e-05,     0.1854361705,     -1.019730488, -0.0002133039033,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.05,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636543,      27.17179547,    -0.5016021612,    -0.2254868456,     0.9559564369,  0.0002016259539,    -0.9909466847,    -0.2260229564, -1.406601777e-05,     0.1853940606,     -1.019498922, -0.0002132554651,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.06,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636544,      27.76464569,    -0.5016021612,    -0.2353842403,      0.953645806,  0.0002014746574,    -0.9885149492,    -0.2360987712, -1.619293553e-05,     0.1853511063,     -1.019262712, -0.0002132060555,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.07,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636544,      28.35740343,    -0.5016021612,    -0.2452567988,     0.9512345524,  0.0002013021025,    -0.9859794931,    -0.2461473196, -1.831764727e-05,     0.1853073131,      -1.01902189,  -0.000213155681,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.08,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636545,      28.95006691,    -0.5016021612,    -0.2551034855,     0.9487229542,  0.0002011083126,    -0.9833406444,    -0.2561675084, -2.043992009e-05,     0.1852626867,     -1.018776484,  -0.000213104348,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.09,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636545,      29.54263433,    -0.5016021612,    -0.2649232682,     0.9461113004,   0.000200893313,    -0.9805987435,    -0.2661582484, -2.255952162e-05,     0.1852172326,     -1.018526529,  -0.000213052063,  3.212559396e-05, -0.0002029722725,     0.9982670654
             0.1,     0.9968059125,    0.01641942731,    0.01179465876,      8.993926259,      67.10636546,      30.13510393,    -0.5016021612,    -0.2747151181,      0.943399891,  0.0002006571318,    -0.9777541424,    -0.2761184551, -2.467622002e-05,     0.1851709569,     -1.018272054, -0.0002129988328,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.11,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636547,      30.72747396,    -0.5016021612,    -0.2844780099,     0.9405890367,  0.0002003997991,    -0.9748072053,    -0.2860470489, -2.678978403e-05,     0.1851238652,     -1.018013093, -0.0002129446642,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.12,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636547,      31.31974268,    -0.5016021612,    -0.2942109223,      0.937679059,  0.0002001213473,     -0.971758308,    -0.2959429546, -2.889998298e-05,     0.1850759638,     -1.017749678,  -0.000212889564,  3.212559396e-05, -0.0002029722725,     0.9982670654
            0.13,     0.9968059125,     0.0164194273,    0.01179465876,      8.993926259,      67.10636548,      31.91190835,    -0.5016021612,    -0.3039128375,     0.9346702901,  0.0001998218114,    -0.9686078381,    -0.3058051024, -3.100658685e-05,     0.1850272586,     -1.017481844, -0.0002128335394,  3.212559396e-05, -0.0002029722725,     0.9982670654
