Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      23.42263962,    -0.3322063571,      1.383221923,   -0.02380174082,   -0.03441183028,    0.04379124823,     0.8823857924,    0.01741990741,    -0.5219398641,   0.008981261188,    0.01298483326,    0.02994988601,   -0.02560253483,       1.22157768
            0.01,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      23.78823423,    -0.3322063571,      1.383633741,    -0.0149774894,    -0.0342369832,    0.03857265713,      0.882458936,    0.01754938659,    -0.5216190074,   0.008975740059,    0.01297685098,    0.02994988601,   -0.02560253483,       1.22157768
            0.02,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      24.15367792,    -0.3322063571,      1.383993382,   -0.00615267314,   -0.03406084503,      0.033355843,     0.8824987668,    0.01767812401,    -0.5212937421,   0.008970143067,    0.01296875902,    0.02994988601,   -0.02560253483,       1.22157768
            0.03,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,       24.5189686,    -0.3322063571,      1.384300864,   0.002672375027,   -0.03388342321,    0.02814104817,     0.8825053246,    0.01780611457,    -0.5209640946,    0.00896447067,    0.01296055804,    0.02994988601,   -0.02560253483,       1.22157768
            0.04,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      24.88410419,    -0.3322063571,       1.38455621,    0.01149732258,   -0.03370472524,    0.02292851428,     0.8824786511,    0.01793335321,    -0.5206300917,   0.008958723328,    0.01295224871,    0.02994988601,   -0.02560253483,       1.22157768
            0.05,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      25.24908265,    -0.3322063571,      1.384759443,    0.02032183742,   -0.03352475867,    0.01771848229,     0.8824187902,    0.01805983495,    -0.5202917606,   0.008952901508,     0.0129438317,    0.02994988601,   -0.02560253483,       1.22157768
            0.06,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,       25.6139019,    -0.3322063571,      1.384910589,    0.02914558791,   -0.03334353108,    0.01251119241,     0.8823257877,    0.01818555486,    -0.5199491287,   0.008947005681,    0.01293530769,    0.02994988601,   -0.02560253483,       1.22157768
            0.07,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      25.97855992,    -0.3322063571,      1.385009677,    0.03796824287,   -0.03316105013,    0.00730688412,     0.8821996917,    0.01831050808,    -0.5196022235,   0.008941036324,    0.01292667738,    0.02994988601,   -0.02560253483,       1.22157768
            0.08,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      26.34305468,    -0.3322063571,      1.385056737,     0.0467894716,   -0.03297732349,   0.002105796116,     0.8820405521,     0.0184346898,    -0.5192510732,   0.008934993916,    0.01291794145,    0.02994988601,   -0.02560253483,       1.22157768
            0.09,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      26.70738416,    -0.3322063571,      1.385051804,    0.05560894394,   -0.03279235892,  -0.003091833684,     0.8818484211,    0.01855809528,    -0.5188957057,   0.008928878944,    0.01290910061,    0.02994988601,   -0.02560253483,       1.22157768
             0.1,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      27.07154635,    -0.3322063571,      1.384994913,    0.06442633023,   -0.03260616419,  -0.008285768173,     0.8816233526,    0.01868071984,    -0.5185361497,   0.008922691897,    0.01290015556,    0.02994988601,   -0.02560253483,       1.22157768
            0.11,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      27.43553927,    -0.3322063571,      1.384886102,    0.07324130138,   -0.03241874714,   -0.01347577108,     0.8813654029,    0.01880255886,    -0.5181724338,   0.008916433269,    0.01289110703,    0.02994988601,   -0.02560253483,       1.22157768
            0.12,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      27.79936092,    -0.3322063571,      1.384725411,    0.08205352888,   -0.03223011564,   -0.01866160697,       0.88107463,    0.01892360779,     -0.517804587,   0.008910103559,    0.01288195573,    0.02994988601,   -0.02560253483,       1.22157768
            0.13,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      28.16300936,    -0.3322063571,      1.384512884,    0.09086268477,   -0.03204027763,    -0.0238430413,     0.8807510939,    0.01904386213,    -0.5174326385,   0.008903703269,    0.01287270239,    0.02994988601,   -0.02560253483,       1.22157768
            0.14,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      28.52648261,    -0.3322063571,      1.384248566,    0.09966844175,   -0.03184924107,   -0.02901984041,     0.8803948567,    0.01916331746,    -0.5170566178,   0.008897232906,    0.01286334773,    0.02994988601,   -0.02560253483,       1.22157768
            0.15,      1.505088597,    0.08658688281,      1.847416313,      49.47466117,      286.1022576,      28.88977873,    -0.3322063571,      1.383932504,     0.1084704731,   -0.03165701396,   -0.03419177154,     0.8800059823,    0.01928196942,    -0.5166765546,   0.008890692982,    0.01285389251,    0.02994988601,   -0.02560253483,       1.22157768
