Radius_1,Radius_2,Radius_3,Velocity_1,Velocity_2,Velocity_3,Mass,ARadius_1,ARadius_2,ARadius_3,AVelocity_1,AVelocity_2,AVelocity_3,AMass,Thrust,Time
   -0.9071923241,    -0.4304187583,  3.093492104e-06,     0.4230662994,    -0.9318249917,   -0.01767663993,     0.9820025098,     -0.561823333,     -1.295959738,      1.340612957,      0.326830247,    -0.7325763115,    -0.5196421467,                1,    0.00790274742,                0
   -0.9029169354,    -0.4397156017, -0.0001736701507,     0.4320036359,    -0.9275287456,   -0.01767579779,     0.9820025098,    -0.5581003714,     -1.302904859,      1.335415521,     0.3324298533,    -0.7195819009,    -0.5330223969,                1, 6.923414256e-310,             0.01
   -0.8985524093,    -0.4489690357, -0.0003504166501,     0.4408936083,    -0.9231432295,   -0.01767321158,     0.9820025098,    -0.5543944035,     -1.309746411,      1.330089106,      0.337992311,    -0.7065185596,    -0.5463500272,                1,   4.6716247e-310,             0.02
   -0.8940992243,    -0.4581781707, -0.0005271285759,     0.4497352538,    -0.9186690391,   -0.01766888347,     0.9820025098,    -0.5507100864,     -1.316487604,       1.32463443,     0.3435178135,    -0.6933873073,    -0.5596237515,                1,   4.6716247e-310,             0.03
   -0.8895578685,    -0.4673421229, -0.0007037885211,     0.4585276185,    -0.9141067819,   -0.01766281587,     0.9820025098,    -0.5470519582,      -1.32313179,      1.319052224,     0.3490066001,    -0.6801891309,    -0.5728422907,                1,                0,             0.04
   -0.8849288393,    -0.4764600148, -0.0008803791038,     0.4672697576,    -0.9094570769,   -0.01765501143,     0.9820025098,    -0.5434244345,     -1.329682457,      1.313343231,     0.3544589547,    -0.6669249832,    -0.5860043733,                1,                0,             0.05
   -0.8802126439,    -0.4855309751,   -0.00105688297,     0.4759607357,    -0.9047205543,   -0.01764547308,     0.9820025098,    -0.5398318044,      -1.33614323,      1.307508212,     0.3598752051,    -0.6535957814,    -0.5991087352,                1,            15.68,             0.06
   -0.8754097983,    -0.4945541386,  -0.001233282796,     0.4845996265,    -0.8998978557,   -0.01763420395,     0.9820025098,     -0.536278227,     -1.342517863,      1.301547939,      0.365255721,    -0.6402024058,      -0.61215412,                1,            15.69,             0.07
    -0.870520828,    -0.5035286471,  -0.001409561291,     0.4931855138,    -0.8949896333,   -0.01762120745,     0.9820025098,    -0.5327677284,     -1.348810239,      1.295463198,     0.3706009133,    -0.6267456984,    -0.6251392791,                1,             15.7,             0.08
   -0.8655462677,    -0.5124536484,  -0.001585701199,     0.5017174907,    -0.8899965505,    -0.0176064872,     0.9820025098,    -0.5293041979,      -1.35502436,      1.289254788,     0.3759112322,    -0.6132264619,    -0.6380629718,                1,            15.71,             0.09
