Radius_1,Radius_2,Radius_3,Velocity_1,Velocity_2,Velocity_3,Mass,ARadius_1,ARadius_2,ARadius_3,AVelocity_1,AVelocity_2,AVelocity_3,AMass,Thrust,Time
   -0.8704612431,    -0.5032433219,  3.372292413e-06,     0.5014485486,    -0.8936104463,   -0.02028654396,     0.9775121355,    -0.1654133766,     -1.283667082,     0.5306938223,     0.5159938229,    -0.7147458966,    -0.5932064942,                1,   0.007845827612,                0
   -0.8654035357,    -0.5121552067, -0.0002000574584,     0.5100841939,    -0.8887519371,     -0.020399326,     0.9773143293,    -0.1625819273,     -1.291951231,     0.5248328354,     0.5176338463,    -0.7018677022,    -0.5984841693,      1.000219502,    -0.8097770484,             0.01
   -0.8602597355,    -0.5210180699, -0.0004046125989,     0.5186669603,    -0.8838062138,    -0.0205116194,     0.9771165769,    -0.1596972089,     -1.300112939,     0.5189221186,     0.5192452839,    -0.6889072801,    -0.6037029852,      1.000438039,   -0.09744422877,             0.02
   -0.8550303759,    -0.5298310423, -0.0006102881666,     0.5271959054,    -0.8787738739,   -0.02062340881,     0.9769188804,    -0.1567651034,     -1.308154055,      0.512962396,     0.5208276325,    -0.6758658455,    -0.6088624483,      1.000655619,    0.01478321002,             0.03
   -0.8497159999,    -0.5385932607, -0.0008170790418,     0.5356700949,    -0.8736555267,   -0.02073467819,     0.9767212418,    -0.1537914004,     -1.316076609,     0.5069543941,     0.5223804473,    -0.6627445942,    -0.6139620722,      1.000872255,     0.7959240217,             0.04
   -0.8443171596,    -0.5473038682,  -0.001024979941,     0.5440886027,    -0.8684517932,   -0.02084541078,     0.9765236635,     -0.150781791,     -1.323882812,     0.5008988426,     0.5239033408,    -0.6495447011,    -0.6190013777,      1.001087959,      -1.75626821,             0.05
   -0.8388344165,    -0.5559620141,   -0.00123398541,     0.5524505108,    -0.8631633062,   -0.02095558909,     0.9763261473,     -0.147741864,     -1.331575051,     0.4947964734,     0.5253959821,    -0.6362673179,    -0.6239798929,      1.001302743,      25.96608747,             0.06
   -0.8332683411,     -0.564566854,  -0.001444089815,     0.5607549099,    -0.8577907099,   -0.02106519486,     0.9761286955,    -0.1446770999,     -1.339155886,     0.4886480208,     0.5268580953,    -0.6229135715,    -0.6288971535,      1.001516622,     0.9534508901,             0.07
    -0.827619513,    -0.5731175501,  -0.001655287335,     0.5690008995,    -0.8523346601,   -0.02117420903,     0.9759313101,     -0.141592867,     -1.346628048,     0.4824542212,     0.5282894592,    -0.6094845625,    -0.6337527022,      1.001729608,      -53.4668443,             0.08
   -0.8218885208,    -0.5816132712,  -0.001867571957,     0.5771875877,    -0.8467958236,   -0.02128261172,     0.9757339933,    -0.1384944165,     -1.353994432,     0.4762158129,     0.5296899053,    -0.5959813632,    -0.6385460892,      1.001941717,     -11.83965717,             0.09
   -0.8160759619,    -0.5900531929,  -0.002080937462,      0.585314092,    -0.8411748788,   -0.02139038219,     0.9755367472,    -0.1353868775,     -1.361258097,      0.469933536,     0.5310593172,    -0.5824050162,    -0.6432768722,      1.002152965,      1.678828581,              0.1
