Radius_1, Radius_2, Radius_3, Velocity_1, Velocity_2, Velocity_3, Mass, ARadius_1, ARadius_2, ARadius_3, AVelocity_1, AVelocity_2, AVelocity_3, AMass, Time
   -0.6992913346,    -0.7300506419, -0.0001259331222,      0.741594591,    -0.7081513313,  -0.005166271513,     0.9734768275,     -1.390929834,     -0.631378682,     -1.255080925,     0.9937484462,    -0.5578947971,    -0.1455890323,                1,                0
    -0.691840794,    -0.7370971949, -0.0001777123678,     0.7485017879,     -0.701147558,  -0.005189103739,     0.9732811267,     -1.394902724,    -0.6199834538,     -1.253731197,      1.007677493,    -0.5516379377,    -0.1330450725,      1.000238083,             0.01
   -0.6843215354,    -0.7440733605, -0.0002297057567,     0.7553380264,    -0.6940740029,  -0.005209103944,     0.9730854219,      -1.39901728,    -0.6085311547,     -1.252502344,      1.021646973,    -0.5454953183,    -0.1205140054,      1.000477868,             0.02
   -0.6767342728,     -0.750978445, -0.0002818850852,     0.7621024608,    -0.6869314805,  -0.005226295786,     0.9728897155,     -1.403279728,    -0.5970248731,     -1.251394262,      1.035658332,    -0.5394674946,     -0.107994623,      1.000719432,             0.03
   -0.6690797283,     -0.757811763, -0.0003342223962,     0.7687942572,    -0.6797208181,  -0.005240704851,     0.9726940095,      -1.40769629,      -0.58546797,     -1.250406859,      1.049713081,    -0.5335549897,   -0.09548571794,       1.00096285,             0.04
   -0.6613586325,    -0.7645726371, -0.0003866899973,     0.7754125931,     -0.672442856,  -0.005252358503,     0.9724983063,     -1.412273166,    -0.5738640796,     -1.249540046,      1.063812792,    -0.5277582918,   -0.08298608388,      1.001208193,             0.05
    -0.653571724,    -0.7712603986,  -0.000439260478,     0.7819566579,    -0.6650984467,  -0.005261285729,     0.9723026081,     -1.417016527,    -0.5622171092,     -1.248793742,      1.077959099,    -0.5220778517,   -0.07049451533,      1.001455534,             0.06
   -0.6457197496,    -0.7778743874, -0.0004919067251,     0.7884256534,    -0.6576884552,  -0.005267516998,     0.9721069172,     -1.421932508,    -0.5505312389,     -1.248167875,      1.092153698,    -0.5165140794,   -0.05800980758,      1.001704943,             0.07
   -0.6378034638,     -0.784413952, -0.0005446019372,     0.7948187937,    -0.6502137583,  -0.005271084115,     0.9719112358,     -1.427027196,    -0.5388109208,     -1.247662375,      1.106398345,    -0.5110673418,   -0.04553075661,      1.001956488,             0.08
   -0.6298236291,    -0.7908784498, -0.0005973196368,     0.8011353055,    -0.6426752446,  -0.005272020087,     0.9717155663,      -1.43230662,    -0.5270608783,     -1.247277184,      1.120694858,      -0.50573796,   -0.03305615905,      1.002210236,             0.09
   -0.6217810157,    -0.7972672472, -0.0006500336819,     0.8073744288,    -0.6350738139,  -0.005270358989,      0.971519911,     -1.437776743,    -0.5152861046,     -1.247012248,      1.135045113,    -0.5005262067,   -0.02058481208,      1.002466255,              0.1
    -0.613676401,    -0.8035797194, -0.0007027182763,     0.8135354162,    -0.6274103772,  -0.005266135842,     0.9713242723,     -1.443443452,    -0.5034918612,     -1.246867519,      1.149451048,    -0.4954323029,  -0.008115513406,      1.002724608,             0.11
   -0.6055105702,    -0.8098152511,  -0.000755347978,     0.8196175339,    -0.6196858564,  -0.005259386489,     0.9711286524,     -1.449312548,    -0.4916836759,     -1.246842957,      1.163914657,     -0.490456416,   0.004352938847,      1.002985359,             0.12
   -0.5972843156,     -0.815973236, -0.0008078977071,     0.8256200617,    -0.6119011839,  -0.005250147485,     0.9709330537,     -1.455389737,    -0.4798673405,     -1.246938529,      1.178437993,    -0.4855986566,    0.01682174618,       1.00324857,             0.13
   -0.5889984367,    -0.8220530774, -0.0008603427526,     0.8315422927,    -0.6040573022,  -0.005238455992,     0.9707374787,      -1.46168062,    -0.4680489079,     -1.247154208,      1.193023164,    -0.4808590762,    0.02929210978,      1.003514303,             0.14
   -0.5806537398,    -0.8280541879, -0.0009126587775,      0.837383534,    -0.5961551639,  -0.005224349678,     0.9705419296,     -1.468190685,    -0.4562346897,     -1.247489973,      1.207672336,    -0.4762376644,    0.04176523061,      1.003782615,             0.15
   -0.5722510382,    -0.8339759897, -0.0009648218237,     0.8431431068,    -0.5881957313,  -0.005207866623,     0.9703464089,     -1.474925295,    -0.4444312526,      -1.24794581,      1.222387726,    -0.4717343465,    0.05424230947,      1.004053567,             0.16
   -0.5637911521,    -0.8398179148,  -0.001016808316,     0.8488203461,     -0.580179976,  -0.005189045238,      0.970150919,     -1.481889683,    -0.4326454148,     -1.248521712,      1.237171608,    -0.4673489807,    0.06672454703,      1.004327216,             0.17
   -0.5552749079,    -0.8455794048,  -0.001068595063,     0.8544146013,     -0.572108879,  -0.005167924179,     0.9699554624,     -1.489088939,    -0.4208842418,     -1.249217679,      1.252026303,     -0.463081356,    0.07921314393,      1.004603618,             0.18
