Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,             7121,            0.063,               45,                0,                0,                0,     -27.98767321,         6672.377,                0,                0,                0,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,                0,     -37597.65952,      37597.65952
              10,             7121,            0.063,               45,              360,                0,     0.6842834897,     -27.98767321,      6671.929348,      56.34696405,      56.34696405,   -0.08952927639,       5.63444438,       5.63444438,  -0.008953052178,               -0,               -0,  -7.25001157e-14,     -37597.65952,      37597.65952
              20,             7121,            0.063,               45,              360,                0,      1.368555411,     -27.98767321,      6670.586462,      112.6863676,      112.6863676,    -0.1790442697,      5.633310337,      5.633310337,   -0.00895271163,               -0,               -0, -8.262665845e-14,     -37597.65952,      37597.65952
              30,             7121,            0.063,               45,              360,                0,      2.052804198,     -27.98767321,      6668.348557,      169.0106515,      169.0106515,    -0.2685307012,       5.63142053,       5.63142053,  -0.008952144148,               -0,               -0, -1.811486528e-13,     -37597.65952,      37597.65952
              40,             7121,            0.063,               45,              360,                0,       2.73701829,     -27.98767321,      6665.215991,      225.3122602,      225.3122602,    -0.3579743009,      5.628775357,      5.628775357,  -0.008951349881,               -0,               -0, -2.974468135e-13,     -37597.65952,      37597.65952
              50,             7121,            0.063,               45,              360,                0,      3.421186135,     -27.98767321,      6661.189262,      281.5836426,      281.5836426,    -0.4473608116,      5.625375374,      5.625375374,  -0.008950329036,               -0,               -0, -1.507414496e-13,     -37597.65952,      37597.65952
              60,             7121,            0.063,               45,              360,                0,      4.105296192,     -27.98767321,      6656.269012,       337.817254,       337.817254,    -0.5366759937,      5.621221294,      5.621221294,  -0.008949081879,               -0,               -0, -3.179744609e-13,     -37597.65952,      37597.65952
              70,             7121,            0.063,               45,                0,                0,      4.789336933,     -27.98767321,      6650.456027,      394.0055577,      394.0055577,    -0.6259056289,       5.61631399,       5.61631399,  -0.008947608735,               -0,               -0,  2.818491069e-14,     -37597.65952,      37597.65952
              80,             7121,            0.063,               45,              360,                0,      5.473296847,     -27.98767321,      6643.751232,      450.1410265,      450.1410265,    -0.7150355251,      5.610654492,      5.610654492,  -0.008945909988,               -0,               -0, -3.352898477e-14,     -37597.65952,      37597.65952
              90,             7121,            0.063,               45,                0,                0,      6.157164442,     -27.98767321,      6636.155696,      506.2161441,      506.2161441,    -0.8040515203,      5.604243987,      5.604243987,  -0.008943986079,               -0,               -0,  2.945707626e-14,     -37597.65952,      37597.65952
             100,             7121,            0.063,               45,                0,                0,      6.840928245,     -27.98767321,      6627.670629,      562.2234073,      562.2234073,    -0.8929394869,       5.59708382,       5.59708382,  -0.008941837508,               -0,               -0,  1.522761593e-13,     -37597.65952,      37597.65952
             110,             7121,            0.063,               45,                0,                0,      7.524576813,     -27.98767321,       6618.29738,      618.1553266,      618.1553266,    -0.9816853361,      5.589175489,      5.589175489,  -0.008939464835,               -0,               -0,  1.011300941e-13,     -37597.65952,      37597.65952
             120,             7121,            0.063,               45,              360,                0,      8.208098724,     -27.98767321,      6608.037442,      674.0044287,      674.0044287,     -1.070275022,      5.580520652,      5.580520652,  -0.008936868673,               -0,               -0,  -1.00331409e-13,     -37597.65952,      37597.65952
             130,             7121,            0.063,               45,              360,                0,      8.891482589,     -27.98767321,      6596.892447,      729.7632573,      729.7632573,     -1.158694545,      5.571121116,      5.571121116,  -0.008934049697,               -0,               -0, -8.165154516e-15,     -37597.65952,      37597.65952
             140,             7121,    0.06299999999,               45,              360,                0,      9.574717051,     -27.98767321,      6584.864165,      785.4243752,      785.4243752,     -1.246929959,      5.560978847,      5.560978847,  -0.008931008636,               -0,               -0, -3.269503511e-13,     -37597.65952,      37597.65952
             150,             7121,    0.06299999999,               45,                0,                0,      10.25779079,     -27.98767321,      6571.954508,      840.9803655,      840.9803655,      -1.33496737,      5.550095961,      5.550095961,  -0.008927746275,               -0,               -0,  1.407594957e-13,     -37597.65952,      37597.65952
             160,             7121,    0.06299999999,               45,              360,                0,      10.94069251,     -27.98767321,      6558.165524,      896.4238332,      896.4238332,     -1.422792946,      5.538474727,      5.538474727,  -0.008924263457,               -0,               -0, -3.906188585e-14,     -37597.65952,      37597.65952
             170,             7121,    0.06299999999,               45,                0,                0,      11.62341099,     -27.98767321,      6543.499401,      951.7474069,      951.7474069,     -1.510392917,      5.526117565,      5.526117565,  -0.008920561079,               -0,               -0,  1.334397343e-13,     -37597.65952,      37597.65952
             180,             7121,    0.06299999999,               45,                0,                0,        12.305935,     -27.98767321,      6527.958463,       1006.94374,       1006.94374,     -1.597753582,      5.513027044,      5.513027044,  -0.008916640095,               -0,               -0,  1.423561364e-15,     -37597.65952,      37597.65952
