Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,             7121,            0.063,               45,                0,                0,                0,     -27.98767321,         6672.377,                0,                0,                0,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,                0,     -37597.65952,      37597.65952
           0.001,             7121,            0.063,               45,                0,                0,  6.843516381e-05,     -27.98767321,         6672.377,   0.005634822421,   0.005634822421, -8.953165704e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  2.384616679e-18,     -37597.65952,      37597.65952
           0.002,             7121,            0.063,               45,                0,                0,  0.0001368570127,     -27.98767321,         6672.377,    0.01126964484,    0.01126964484, -1.790633141e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  1.443383325e-17,     -37597.65952,      37597.65952
           0.003,             7121,            0.063,               45,                0,                0,   0.000205285963,     -27.98767321,         6672.377,    0.01690446726,    0.01690446726, -2.685949711e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.380017228e-18,     -37597.65952,      37597.65952
           0.004,             7121,            0.063,               45,              360,                0,  0.0002737140255,     -27.98767321,         6672.377,    0.02253928968,    0.02253928968, -3.581266281e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.391696468e-19,     -37597.65952,      37597.65952
           0.005,             7121,            0.063,               45,              360,                0,  0.0003421417329,     -27.98767321,         6672.377,     0.0281741121,     0.0281741121, -4.476582852e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -1.764163953e-17,     -37597.65952,      37597.65952
           0.006,             7121,            0.063,               45,              360,                0,  0.0004105710382,     -27.98767321,         6672.377,    0.03380893452,    0.03380893452, -5.371899422e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -1.808386854e-17,     -37597.65952,      37597.65952
           0.007,             7121,            0.063,               45,              360,                0,  0.0004789997348,     -27.98767321,         6672.377,    0.03944375694,    0.03944375694, -6.267215992e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -2.466155148e-17,     -37597.65952,      37597.65952
           0.008,             7121,            0.063,               45,              360,                0,  0.0005474293825,     -27.98767321,         6672.377,    0.04507857936,    0.04507857936, -7.162532563e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -1.316508667e-17,     -37597.65952,      37597.65952
           0.009,             7121,            0.063,               45,              360,              360,  0.0006158572971,     -27.98767321,         6672.377,    0.05071340178,    0.05071340178, -8.057849133e-05,       5.63482242,       5.63482242,  -0.008953165704,               -0,               -0, -6.446405676e-17,     -37597.65952,      37597.65952
            0.01,             7121,            0.063,               45,              360,                0,  0.0006842850637,     -27.98767321,         6672.377,     0.0563482242,     0.0563482242, -8.953165703e-05,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -6.194792643e-17,     -37597.65952,      37597.65952
           0.011,             7121,            0.063,               45,              360,                0,  0.0007527136911,     -27.98767321,      6672.376999,    0.06198304663,    0.06198304663, -9.848482274e-05,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -7.601766644e-17,     -37597.65952,      37597.65952
           0.012,             7121,            0.063,               45,              360,                0,  0.0008211425203,     -27.98767321,      6672.376999,    0.06761786905,    0.06761786905, -0.0001074379884,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -8.246365566e-17,     -37597.65952,      37597.65952
           0.013,             7121,            0.063,               45,              360,                0,  0.0008895715047,     -27.98767321,      6672.376999,    0.07325269147,    0.07325269147, -0.0001163911541,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -5.707626666e-17,     -37597.65952,      37597.65952
           0.014,             7121,            0.063,               45,              360,                0,  0.0009579994696,     -27.98767321,      6672.376999,    0.07888751389,    0.07888751389, -0.0001253443198,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -5.384473504e-17,     -37597.65952,      37597.65952
           0.015,             7121,            0.063,               45,              360,                0,   0.001026428394,     -27.98767321,      6672.376999,     0.0845223363,     0.0845223363, -0.0001342974855,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -8.765885404e-17,     -37597.65952,      37597.65952
           0.016,             7121,            0.063,               45,              360,              360,   0.001094856435,     -27.98767321,      6672.376999,    0.09015715872,    0.09015715872, -0.0001432506512,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0,   -9.5209539e-17,     -37597.65952,      37597.65952
           0.017,             7121,            0.063,               45,              360,              360,   0.001163285313,     -27.98767321,      6672.376999,    0.09579198114,    0.09579198114, -0.0001522038169,       5.63482242,       5.63482242,  -0.008953165703,               -0,               -0, -1.173284986e-16,     -37597.65952,      37597.65952
           0.018,             7121,            0.063,               45,              360,              360,   0.001231713706,     -27.98767321,      6672.376999,     0.1014268036,     0.1014268036, -0.0001611569827,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0, -1.329541129e-16,     -37597.65952,      37597.65952
           0.019,             7121,            0.063,               45,              360,              360,   0.001300142532,     -27.98767321,      6672.376998,      0.107061626,      0.107061626, -0.0001701101484,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0, -4.595383737e-17,     -37597.65952,      37597.65952
            0.02,             7121,            0.063,               45,              360,              360,   0.001368570926,     -27.98767321,      6672.376998,     0.1126964484,     0.1126964484, -0.0001790633141,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0,  -9.32620243e-17,     -37597.65952,      37597.65952
           0.021,             7121,            0.063,               45,              360,                0,   0.001436999458,     -27.98767321,      6672.376998,     0.1183312708,     0.1183312708, -0.0001880164798,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0,  -1.00547238e-16,     -37597.65952,      37597.65952
           0.022,             7121,            0.063,               45,              360,              360,   0.001505427624,     -27.98767321,      6672.376998,     0.1239660932,     0.1239660932, -0.0001969696455,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0, -8.269920373e-17,     -37597.65952,      37597.65952
           0.023,             7121,            0.063,               45,              360,              360,   0.001573856631,     -27.98767321,      6672.376998,     0.1296009157,     0.1296009157, -0.0002059228112,      5.634822419,      5.634822419,  -0.008953165703,               -0,               -0, -1.656299371e-16,     -37597.65952,      37597.65952
           0.024,             7121,            0.063,               45,              360,              360,   0.001642285041,     -27.98767321,      6672.376997,     0.1352357381,     0.1352357381, -0.0002148759769,      5.634822418,      5.634822418,  -0.008953165703,               -0,               -0, -1.002699395e-16,     -37597.65952,      37597.65952
           0.025,             7121,            0.063,               45,              360,                0,   0.001710713352,     -27.98767321,      6672.376997,     0.1408705605,     0.1408705605, -0.0002238291426,      5.634822418,      5.634822418,  -0.008953165703,               -0,               -0, -1.554586423e-16,     -37597.65952,      37597.65952
