Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,             7121,            0.063,               45,                0,                0,                0,     -27.98767321,         6672.377,                0,                0,                0,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,                0,     -37597.65952,      37597.65952
          0.0001,             7121,            0.063,               45,              360,                0,  6.936089891e-06,     -27.98767321,         6672.377,  0.0005634822421,  0.0005634822421, -8.953165704e-07,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -7.081651853e-19,     -37597.65952,      37597.65952
          0.0002,             7121,            0.063,               45,              360,              360,  1.366037834e-05,     -27.98767321,         6672.377,   0.001126964484,   0.001126964484, -1.790633141e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -1.432103381e-18,     -37597.65952,      37597.65952
          0.0003,             7121,            0.063,               45,              360,              360,  2.054385906e-05,     -27.98767321,         6672.377,   0.001690446726,   0.001690446726, -2.685949711e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  -1.07618616e-18,     -37597.65952,      37597.65952
          0.0004,             7121,            0.063,               45,              360,              360,  2.736074805e-05,     -27.98767321,         6672.377,   0.002253928968,   0.002253928968, -3.581266281e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  -2.79508571e-19,     -37597.65952,      37597.65952
          0.0005,             7121,            0.063,               45,                0,              360,  3.420426508e-05,     -27.98767321,         6672.377,    0.00281741121,    0.00281741121, -4.476582852e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  7.336379353e-19,     -37597.65952,      37597.65952
          0.0006,             7121,            0.063,               45,                0,                0,  4.106109829e-05,     -27.98767321,         6672.377,   0.003380893452,   0.003380893452, -5.371899422e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  5.548591093e-19,     -37597.65952,      37597.65952
          0.0007,             7121,            0.063,               45,                0,                0,  4.789510356e-05,     -27.98767321,         6672.377,   0.003944375694,   0.003944375694, -6.267215993e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,   2.33503117e-20,     -37597.65952,      37597.65952
          0.0008,             7121,            0.063,               45,                0,                0,  5.474147353e-05,     -27.98767321,         6672.377,   0.004507857936,   0.004507857936, -7.162532563e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  1.004039171e-18,     -37597.65952,      37597.65952
          0.0009,             7121,            0.063,               45,                0,                0,  6.158425019e-05,     -27.98767321,         6672.377,   0.005071340179,   0.005071340179, -8.057849133e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  8.575984106e-19,     -37597.65952,      37597.65952
           0.001,             7121,            0.063,               45,              360,                0,  6.843516381e-05,     -27.98767321,         6672.377,   0.005634822421,   0.005634822421, -8.953165704e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -5.686464579e-19,     -37597.65952,      37597.65952
          0.0011,             7121,            0.063,               45,              360,                0,  7.528231126e-05,     -27.98767321,         6672.377,   0.006198304663,   0.006198304663, -9.848482274e-06,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -2.827750222e-18,     -37597.65952,      37597.65952
          0.0012,             7121,            0.063,               45,                0,                0,  8.211775837e-05,     -27.98767321,         6672.377,   0.006761786905,   0.006761786905, -1.074379884e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  5.720073484e-18,     -37597.65952,      37597.65952
          0.0013,             7121,            0.063,               45,                0,              360,  8.895649493e-05,     -27.98767321,         6672.377,   0.007325269147,   0.007325269147, -1.163911541e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  1.235641209e-18,     -37597.65952,      37597.65952
          0.0014,             7121,            0.063,               45,              360,              360,   9.58016209e-05,     -27.98767321,         6672.377,   0.007888751389,   0.007888751389, -1.253443199e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -5.383316112e-19,     -37597.65952,      37597.65952
          0.0015,             7121,            0.063,               45,                0,                0,  0.0001026483075,     -27.98767321,         6672.377,   0.008452233631,   0.008452233631, -1.342974856e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  5.099047486e-18,     -37597.65952,      37597.65952
          0.0016,             7121,            0.063,               45,                0,                0,   0.000109486276,     -27.98767321,         6672.377,   0.009015715873,   0.009015715873, -1.432506513e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  3.298953488e-18,     -37597.65952,      37597.65952
          0.0017,             7121,            0.063,               45,                0,                0,  0.0001163295966,     -27.98767321,         6672.377,   0.009579198115,   0.009579198115,  -1.52203817e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0,  2.080565086e-18,     -37597.65952,      37597.65952
          0.0018,             7121,            0.063,               45,              360,              360,  0.0001231744184,     -27.98767321,         6672.377,    0.01014268036,    0.01014268036, -1.611569827e-05,      5.634822421,      5.634822421,  -0.008953165704,               -0,               -0, -1.010421854e-18,     -37597.65952,      37597.65952
