Time (sec),Semi-Major Axis (km),Eccentricity,Inclination (deg),RAAN (deg),Argument of Periapsis (deg),True Anomaly (deg),Orbital Energy (km^2/sec^2),Radius_1 (km),Radius_2 (km),Radius_3 (km),Velocity_1 (km/s),Velocity_2 (km/s),Velocity_3 (km/s),Acceleration_1 (km/s^2),Acceleration_2 (km/s^2),Acceleration_3 (km/s^2),Angular_Momemntum_1 (km^2/s),Angular_Momemntum_2 (km^2/s),Angular_Momemntum_3 (km^2/s)
               0,      7035.932572,   0.005249136681,      7.594643369,                0,                0,                0,     -28.32605612,             6999,                0,                0,                0,              7.5,                1,  -0.008137027593,               -0,               -0,                0,            -6999,          52492.5
           0.001,      7035.932572,   0.005249136681,      7.594643369,              360,              360,  6.194420527e-05,     -28.32605612,             6999,           0.0075,            0.001, -8.137027593e-06,              7.5,                1,  -0.008137027593,               -0,               -0, -4.857225724e-19,            -6999,          52492.5
           0.002,      7035.932572,   0.005249136681,      7.594643369,              360,              360,  0.0001238825267,     -28.32605612,             6999,            0.015,            0.002, -1.627405519e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -2.151057083e-18,            -6999,          52492.5
           0.003,      7035.932572,   0.005249136681,      7.594643369,              360,              360,  0.0001858228093,     -28.32605612,             6999,           0.0225,            0.003, -2.441108278e-05,              7.5,                1,  -0.008137027593,               -0,               -0,  -5.41233704e-18,            -6999,          52492.5
           0.004,      7035.932572,   0.005249136681,      7.594643369,              360,              360,  0.0002477635823,     -28.32605612,             6999,             0.03,            0.004, -3.254811037e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -7.077670917e-18,            -6999,          52492.5
           0.005,      7035.932572,   0.005249136681,      7.594643369,              360,              360,  0.0003097021978,     -28.32605612,             6999,           0.0375,            0.005, -4.068513796e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -1.387776141e-18,            -6999,          52492.5
           0.006,      7035.932572,   0.005249136681,      7.594643369,              360,                0,  0.0003716426766,     -28.32605612,             6999,            0.045,            0.006, -4.882216556e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -8.604221872e-18,            -6999,          52492.5
           0.007,      7035.932572,   0.005249136681,      7.594643369,              360,                0,  0.0004335842201,     -28.32605612,             6999,           0.0525,            0.007, -5.695919315e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -1.193488332e-17,            -6999,          52492.5
           0.008,      7035.932572,   0.005249136681,      7.594643369,              360,              360,   0.000495523487,     -28.32605612,             6999,             0.06,            0.008, -6.509622074e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -1.110195343e-18,            -6999,          52492.5
           0.009,      7035.932572,   0.005249136681,      7.594643369,              360,                0,  0.0005574645052,     -28.32605612,             6999,           0.0675,            0.009, -7.323324833e-05,              7.5,                1,  -0.008137027593,               -0,               -0, -3.330619191e-18,            -6999,          52492.5
            0.01,      7035.932572,   0.005249136681,      7.594643369,                0,                0,  0.0006194055724,     -28.32605612,             6999,            0.075,             0.01, -8.137027593e-05,              7.5,     0.9999999999,  -0.008137027593,               -0,               -0,  2.775642039e-18,            -6999,          52492.5
           0.011,      7035.932572,   0.005249136681,      7.594643369,              360,                0,  0.0006813445356,     -28.32605612,             6999,           0.0825,            0.011, -8.950730352e-05,      7.499999999,     0.9999999999,  -0.008137027593,               -0,               -0, -8.325312175e-19,            -6999,          52492.5
           0.012,      7035.932572,   0.005249136681,      7.594643369,                0,              360,  0.0007432858435,     -28.32605612,      6998.999999,             0.09,            0.012, -9.764433111e-05,      7.499999999,     0.9999999999,  -0.008137027593,               -0,               -0,  6.661548353e-18,            -6999,          52492.5
           0.013,      7035.932572,   0.005249136681,      7.594643369,                0,              360,  0.0008052262393,     -28.32605612,      6998.999999,           0.0975,            0.013, -0.0001057813587,      7.499999999,     0.9999999999,  -0.008137027593,               -0,               -0,  1.193521117e-17,            -6999,          52492.5
           0.014,      7035.932572,   0.005249136681,      7.594643369,                0,              360,  0.0008671654981,     -28.32605612,      6998.999999,            0.105,            0.014, -0.0001139183863,      7.499999999,     0.9999999999,  -0.008137027593,               -0,               -0,  1.554357668e-17,            -6999,          52492.5
           0.015,      7035.932572,   0.005249136681,      7.594643369,                0,              360,  0.0009291065933,     -28.32605612,      6998.999999,           0.1125,            0.015, -0.0001220554139,      7.499999999,     0.9999999999,  -0.008137027593,               -0,               -0,  2.776199058e-18,            -6999,          52492.5
